estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
1959,325,8,"(2,)","(32,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1960,325,8,"(2,)","(64,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1961,325,8,"(2,)","(128,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1962,325,8,"(2,)","(256,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1963,325,8,"(2,)","(512,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1964,325,16,"(2,)","(8,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1965,325,16,"(2,)","(16,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1966,325,16,"(2,)","(32,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1967,325,16,"(2,)","(64,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1968,325,16,"(2,)","(128,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1969,325,16,"(2,)","(256,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1970,325,16,"(2,)","(512,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1971,325,32,"(2,)","(8,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1972,325,32,"(2,)","(16,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1973,325,32,"(2,)","(32,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1974,325,32,"(2,)","(64,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1975,325,32,"(2,)","(128,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1976,325,32,"(2,)","(256,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1977,325,32,"(2,)","(512,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1978,162,8,"(6,)","(8,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1979,162,8,"(6,)","(16,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
