estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
155,359,32,"(100000, 816)","(32, 4)",2550000,0.03499751165939147,389.17052539491397,Compute
156,359,32,"(100000, 816)","(32, 8)",2550000,0.03499751165939147,389.17052539491397,Compute
157,359,32,"(100000, 816)","(32, 16)",2550000,0.03499751165939147,389.17052539491397,Compute
158,359,32,"(100000, 816)","(64, 1)",2550000,0.03499751165939147,389.17052539491397,Compute
159,359,32,"(100000, 816)","(64, 2)",2550000,0.03499751165939147,389.17052539491397,Compute
160,359,32,"(100000, 816)","(64, 4)",2550000,0.03499751165939147,389.17052539491397,Compute
161,359,32,"(100000, 816)","(64, 8)",2550000,0.03499751165939147,389.17052539491397,Compute
162,359,32,"(100000, 816)","(128, 1)",2550000,0.03499751165939147,389.17052539491397,Compute
163,359,32,"(100000, 816)","(128, 2)",2550000,0.03499751165939147,389.17052539491397,Compute
164,359,32,"(100000, 816)","(128, 4)",2550000,0.03499751165939147,389.17052539491397,Compute
165,359,32,"(100000, 816)","(256, 1)",2550000,0.03499751165939147,389.17052539491397,Compute
166,359,32,"(100000, 816)","(256, 2)",2550000,0.03499751165939147,389.17052539491397,Compute
167,359,32,"(100000, 816)","(512, 1)",2550000,0.03499751165939147,389.17052539491397,Compute
168,359,8,"(100000,)","(8,)",12500,0.037238202435985183,365.75342280319904,Compute
169,359,8,"(100000, 816)","(1, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
170,359,8,"(100000,)","(16,)",12500,0.037238202435985183,365.75342280319904,Compute
171,359,8,"(100000, 816)","(1, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
172,359,8,"(100000,)","(32,)",12500,0.037238202435985183,365.75342280319904,Compute
173,359,8,"(100000, 816)","(1, 32)",10200000,0.03903809424697063,348.8899820220328,Compute
174,359,8,"(100000,)","(64,)",12500,0.037238202435985183,365.75342280319904,Compute
175,359,8,"(100000, 816)","(1, 64)",10200000,0.03903809424697063,348.8899820220328,Compute
176,359,8,"(100000,)","(128,)",12500,0.037238202435985183,365.75342280319904,Compute
177,359,8,"(100000, 816)","(1, 128)",10200000,0.03903809424697063,348.8899820220328,Compute
178,359,8,"(100000,)","(256,)",12500,0.037238202435985183,365.75342280319904,Compute
179,359,8,"(100000, 816)","(1, 256)",10200000,0.03903809424697063,348.8899820220328,Compute
180,359,8,"(100000,)","(512,)",12500,0.037238202435985183,365.75342280319904,Compute
181,359,8,"(100000, 816)","(1, 512)",10200000,0.03903809424697063,348.8899820220328,Compute
182,359,8,"(100000, 816)","(2, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
183,359,8,"(100000, 816)","(2, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
184,359,8,"(100000, 816)","(2, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
185,359,8,"(100000, 816)","(2, 32)",10200000,0.03903809424697063,348.8899820220328,Compute
186,359,8,"(100000, 816)","(2, 64)",10200000,0.03903809424697063,348.8899820220328,Compute
187,359,8,"(100000, 816)","(2, 128)",10200000,0.03903809424697063,348.8899820220328,Compute
188,359,8,"(100000, 816)","(2, 256)",10200000,0.03903809424697063,348.8899820220328,Compute
189,359,8,"(100000, 816)","(4, 2)",10200000,0.03903809424697063,348.8899820220328,Compute
190,359,8,"(100000, 816)","(4, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
191,359,8,"(100000, 816)","(4, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
192,359,8,"(100000, 816)","(4, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
193,359,8,"(100000, 816)","(4, 32)",10200000,0.03903809424697063,348.8899820220328,Compute
194,359,8,"(100000, 816)","(4, 64)",10200000,0.03903809424697063,348.8899820220328,Compute
195,359,8,"(100000, 816)","(4, 128)",10200000,0.03903809424697063,348.8899820220328,Compute
